year,Protein_source,category,Subcategory,Total_EU_production_(A),EU_imports_(B),EU_exports_(C),Total_EU_domestic_use_(D),EU_total_feed_use(E),Feed_use_EU_origin(F),Protein_content(feed_use)(G),EU_total_feed_use(H)=(E)*(G),Feed_use_EU_origin(I)=(F)*(G),%of_total_feed_use,
2023/2024,Crops,Crops,Crops,,,,,161.75205,127.8022678,,16.60067405,13.47165945,0.811512798,0.233136094
2023/2024,Cereal,Crops,Cereal,266.7121831,40.27103919,47.93557788,259.0476444,156.35,122.9438901,,15.1385,12.16790119,0.803771918,0.212601654
2023/2024,Common_Wheat,Crops,Cereal,125.8149219,9.628701367,32.68546804,102.7581552,43.1,33.47129863,0.11,4.741,3.68184285,,
2023/2024,Barley,Crops,Cereal,51.42028065,2.037181714,9.939873799,43.51758857,32.5,32.5,0.1,3.25,3.25,,
2023/2024,Durum,Crops,Cereal,7.46435262,2.04110936,0.866071756,8.639390224,0.5,0.431995339,0.12,0.06,0.051839441,,
2023/2024,Maize,Crops,Cereal,53.11573301,26.101975,4.170806582,75.04690143,58,34.5082225,0.08,4.64,2.7606578,,
2023/2024,Rye,Crops,Cereal,7.28530578,0.111127769,0.155605993,7.240827556,2.652,2.652,0.11,0.29172,0.29172,,
2023/2024,Sorghum,Crops,Cereal,0.5035095,0.040337601,0.014211137,0.529635964,0.918,0.872715889,0.11,0.10098,0.095998748,,
2023/2024,Oats,Crops,Cereal,7.35955449,0.170389621,0.08333786,7.446606251,5.814,5.746033611,0.11,0.63954,0.632063697,,
2023/2024,Triticate,Crops,Cereal,11.1385134,0.003134181,0.003574432,11.13807315,10.5,10.5,0.11,1.155,1.155,,
2023/2024,Others,Crops,Cereal,2.610011781,0.137082576,0.016628279,2.730466078,2.366,2.261624095,0.11,0.26026,0.248778651,,
2023/2024,Oilseeds,Crops,Oilseeds,31.31127,22.21198674,1.359439367,52.16381737,1.5816447,1.5816447,,0.460327421,0.460327421,1,0.006464734
2023/2024,Soya beans,Crops,Oilseeds,2.44848,13.27340074,0.238350808,15.48352993,1.2,1.2,0.33,0.396,0.396,,
2023/2024,Rapeseed,Crops,Oilseeds,19.56111,6.841351066,0.548616068,25.853845,0.1956111,0.1956111,0.1881,0.036794448,0.036794448,,
2023/2024,Sunflowerseed,Crops,Oilseeds,9.30168,2.097234931,0.572472491,10.82644244,0.1860336,0.1860336,0.148,0.027532973,0.027532973,,
2023/2024,Pulses,Crops,Pulses,4.357003333,1.504862209,0.577400888,5.284464654,3.82040526,3.276732986,,1.001846634,0.843430845,0.841876208,0.014069706
2023/2024,Field peas,Crops,Pulses,1.8659,0.587477362,0.198791874,2.254585488,1.478882626,1.223926574,0.225,0.332748591,0.275383479,,
2023/2024,Broad beans,Crops,Pulses,1.29218,0.240192463,0.356847672,1.175524791,1.011365826,1.011365826,0.26,0.262955115,0.262955115,,
2023/2024,Lupins,Crops,Pulses,0.45171,0.291761982,0.000212977,0.743259005,0.736037262,0.447321041,0.35,0.257613042,0.156562364,,
2023/2024,Other protein crops,Crops,Pulses,0.747213333,0.385430402,0.021548365,1.11109537,0.594119546,0.594119546,0.25,0.148529887,0.148529887,,
2023/2024,Co-products,Co-products,Co-products,,,,,78.80094537,42.11277239,,23.79863513,9.003046225,0.378300948,0.334222623
2023/2024,Oilseed meals,Co-products,Oilseed meals,30.3733129,21.30489321,2.448906741,49.22929937,49.04822744,14.1610134,,19.36584974,4.866937172,0.251315446,0.271969593
2023/2024,Soya bean meals,Co-products,Soya bean meals,10.11484052,16.53386914,0.761244264,25.8874654,25.70639347,0.78204202,,11.72785798,0.336278069,0.028673443,0.164703372
2023/2024,Soya bean meal (from EU soya bean production),Co-products,Soya bean meals,0.798002062,,,0.798002062,0.78204202,0.78204202,0.43,0.336278069,0.336278069,,
2023/2024,Soya bean meal (imported soya bean crushing),Co-products,Soya bean meals,9.016838457,,0.761244264,8.255594193,8.090482309,0,0.455,3.681169451,0,,
2023/2024,Soya bean meal (traded as such),Co-products,Soya bean meals,,16.53386914,,16.53386914,16.53386914,0,0.455,7.522910459,0,,
2023/2024,Soya bean protein concentrate,Co-products,Soya bean meals,0.3,,,0.3,0.3,0,0.625,0.1875,0,,
2023/2024,Rapeseed meals,Co-products,Rapeseed meals,14.39915059,0.576104598,0.702805892,14.27244929,14.27244929,9.886093482,,4.709908266,3.262410849,0.692669722,0.066144881
2023/2024,Rapeseed meal (from EU rapeseed production),Co-products,Rapeseed meals,10.58889937,,0.702805892,9.886093482,9.886093482,9.886093482,0.33,3.262410849,3.262410849,,
2023/2024,Rapeseed meal (imported rapeseed crushing),Co-products,Rapeseed meals,3.810251211,,,3.810251211,3.810251211,0,0.33,1.2573829,0,,
2023/2024,Rapeseed meal (traded as such),Co-products,Rapeseed meals,,0.576104598,,0.576104598,0.576104598,0,0.33,0.190114517,0,,
2023/2024,Sunflower meals,Co-products,Sunflower meals,5.23595037,2.351859129,0.911944922,6.675864577,6.675864577,3.309727852,,2.403311248,1.191502027,0.495775163,0.033751557
2023/2024,Sunflower meal (from EU sunflowerseed production),Co-products,Sunflower meals,4.221672774,,0.911944922,3.309727852,3.309727852,3.309727852,0.36,1.191502027,1.191502027,,
2023/2024,Sunflower meal (imported sunflowerseed crushing),Co-products,Sunflower meals,1.014277596,,,1.014277596,1.014277596,0,0.36,0.365139935,0,,
2023/2024,Sunflower meal (traded as such),Co-products,Sunflower meals,,2.351859129,,2.351859129,2.351859129,0,0.36,0.846669286,0,,
2023/2024,Other oilseed meals,Co-products,Other oilseed meals,0.623371429,1.84306034,0.072911663,2.393520106,2.393520106,0.183150045,,0.524772249,0.076746228,0.146246734,0.007369782
2023/2024,Palmkern meal,Co-products,Other oilseed meals,0,1.702568525,0.042765291,1.659803234,1.659803234,-0.042765291,0.16,0.265568517,-0.006842447,,
2023/2024,Linseed meal,Co-products,Other oilseed meals,0.3758,0.04174064,0.008490279,0.409050361,0.409050361,0,0.34,0.139077123,0,,
2023/2024,Other oilseed meals,Co-products,Other oilseed meals,0.247571429,0.098751175,0.021656093,0.324666511,0.324666511,0.225915336,0.37,0.120126609,0.083588674,,
2023/2024,Other co-product,Co-products,Other co-product,30.13783185,3.742893127,0.969742124,32.91098285,29.75271793,27.95175899,,4.432785393,4.136109053,0.933072253,0.062253031
2023/2024,Starch industry's medium protein products (15-30%),Co-products,Other co-product,3.9,0.457917797,0.229224177,4.12869362,4.12869362,4.12869362,0.19,0.784451788,0.784451788,,
2023/2024,Starch industry's super protein products (60-90%),Co-products,Other co-product,1.04,,,1.04,0.6,0.6,0.73,0.438,0.438,,
2023/2024,Distillers' dried grains with solubles,Co-products,Other co-product,3.129046695,0.811832557,0.22466791,3.716211342,3.716211342,2.904378785,30% wheat 27% maize,1.090508426,0.871313636,,
2023/2024,Wet distillers' grain,Co-products,Other co-product,6.282094122,,,6.282094122,6.282094122,6.282094122,0.054,0.339233083,0.339233083,,
